WitnessID,Date,Source,Language,Full_Text,URL,Note,Translation
W02,1200,Geoponica M,grk,,[URL Missing],,
W42,2015,"*Philalethe Reveal'd Vol. 2 B/W*, Captain Nemo, Fra'Cercone",eng,,,same as wiki/Giambattista_della_Porta,
